Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Alice,6,12,18,8.0,20.0,28.0,1.0,1.0,1.0,0.16774891774891776,0.0,0.9833852,0.19793342148589615,1.0,0.006410256493836641
the cur,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
Dinah,1,1,2,3.0,1.0,4.0,2.0,0.5217391304347826,0.5416666666666666,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
Mary Ann,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
the Pigeon,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.30420944,0.0,0.05406964987022666,0.4507108347141414,0.0
the Fish - Footman,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
the baby,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
The Cat,1,1,2,1.0,1.0,2.0,2.0,0.5217391304347826,0.5416666666666666,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
the White Rabbit,1,1,2,3.0,1.0,4.0,2.0,0.5217391304347826,0.5416666666666666,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
the Queen,3,0,3,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.33354837,0.0,0.09217603624682386,0.6564927874166819,0.1666666716337204
the Duchess,2,1,3,2.0,1.0,3.0,2.0,0.5217391304347826,0.5416666666666666,0.025974025974025976,0.30420944,0.0,0.05406964987022666,0.4507108347141414,0.0
the Mock Turtle,1,1,2,1.0,3.0,4.0,2.0,0.5217391304347826,0.5416666666666666,0.0,0.27961457,0.0,0.03567179973259682,0.4462483512021202,0.0
the Gryphon,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.27961457,0.094840735,0.03567179973259682,0.4462483512021202,0.5
the King,1,1,2,1.0,2.0,3.0,1.0,1.0,1.0,0.0010822510822510823,0.0,0.094840735,0.030830182013990022,0.004462483512021202,0.0
the Hatter,0,2,2,0.0,2.0,2.0,2.0,0.5384615384615384,0.5714285714285714,0.0,0.0,0.0,0.0216312569451751,0.0,0.0
the Rabbit,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0216312569451751,0.0,0.0
Bill,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04002910708280495,0.004462483512021202,0.0
the cook,0,1,1,0.0,1.0,1.0,3.0,0.3611111111111111,0.3974358974358974,0.0,0.0,0.08649854,0.0216312569451751,0.0,0.0
Five,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0216312569451751,0.0,0.0
Seven,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04002910708280495,0.004462483512021202,0.0
the snail,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0216312569451751,0.0,0.0
the whiting,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04002910708280495,0.004462483512021202,0.0
Serpent,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08649854,0.0216312569451751,0.0,0.0